home_MSOA,work_MSOA,commuter_count
E02002985,E02002985,209
E02002986,E02002985,178
E02002987,E02002985,128
E02002988,E02002985,5
E02002989,E02002985,6
E02002990,E02002985,14
E02002991,E02002985,1
E02002992,E02002985,7
E02002993,E02002985,6
E02002994,E02002985,11
E02002995,E02002985,4
E02002996,E02002985,8
E02002997,E02002985,4
E02002998,E02002985,6
E02002999,E02002985,11
E02003000,E02002985,60
E02003001,E02002985,5
E02003002,E02002985,6
E02003003,E02002985,13
E02003004,E02002985,24
E02003005,E02002985,11
E02003006,E02002985,22
E02003007,E02002985,30
E02003008,E02002985,9
E02003009,E02002985,12
E02003010,E02002985,9
E02003011,E02002985,7
E02003012,E02002985,5
E02003013,E02002985,8
E02003014,E02002985,4
E02003015,E02002985,3
E02003016,E02002985,2
E02003017,E02002985,4
E02003018,E02002985,1
E02003019,E02002985,4
E02003020,E02002985,6
E02003021,E02002985,2
E02003022,E02002985,2
E02003023,E02002985,11
E02003024,E02002985,7
E02003026,E02002985,3
E02003027,E02002985,7
E02003028,E02002985,2
E02003029,E02002985,7
E02003030,E02002985,7
E02003031,E02002985,1
E02003032,E02002985,9
E02003033,E02002985,4
E02003034,E02002985,7
E02003036,E02002985,4
E02003038,E02002985,18
E02003039,E02002985,9
E02003040,E02002985,7
E02003041,E02002985,1
E02003043,E02002985,5
E02003044,E02002985,11
E02003045,E02002985,6
E02003046,E02002985,20
E02003047,E02002985,11
E02003048,E02002985,8
E02003049,E02002985,13
E02003050,E02002985,8
E02003051,E02002985,2
E02003052,E02002985,8
E02003053,E02002985,10
E02003054,E02002985,28
E02003055,E02002985,6
E02003056,E02002985,8
E02003057,E02002985,3
E02003058,E02002985,18
E02003059,E02002985,15
E02003060,E02002985,42
E02003061,E02002985,7
E02003062,E02002985,8
E02003063,E02002985,22
E02003064,E02002985,8
E02006887,E02002985,3
E02006888,E02002985,2
E02006889,E02002985,5
E02006890,E02002985,5
E02003065,E02002985,3
E02003067,E02002985,4
E02003068,E02002985,4
E02003069,E02002985,2
E02003070,E02002985,8
E02003071,E02002985,1
E02003072,E02002985,3
E02003073,E02002985,1
E02003075,E02002985,2
E02003076,E02002985,3
E02003077,E02002985,1
E02003078,E02002985,3
E02003081,E02002985,3
E02003082,E02002985,2
E02003084,E02002985,1
E02003087,E02002985,3
E02003088,E02002985,4
E02006845,E02002985,1
E02003090,E02002985,1
E02003091,E02002985,3
E02003092,E02002985,5
E02003093,E02002985,3
E02003094,E02002985,5
E02003095,E02002985,6
E02003096,E02002985,3
E02003097,E02002985,7
E02003098,E02002985,6
E02003099,E02002985,5
E02003100,E02002985,3
E02003101,E02002985,7
E02003102,E02002985,3
E02003103,E02002985,11
E02003104,E02002985,3
E02003105,E02002985,7
E02003106,E02002985,7
E02003107,E02002985,7
E02003108,E02002985,18
E02003109,E02002985,11
E02003110,E02002985,22
E02003111,E02002985,7
E02003112,E02002985,11
E02003113,E02002985,21
E02003114,E02002985,21
E02003115,E02002985,12
E02003116,E02002985,19
E02003117,E02002985,16
E02003118,E02002985,60
E02003119,E02002985,60
E02003120,E02002985,28
E02003121,E02002985,83
E02002985,E02002986,125
E02002986,E02002986,148
E02002987,E02002986,107
E02002988,E02002986,13
E02002989,E02002986,14
E02002990,E02002986,13
E02002991,E02002986,18
E02002992,E02002986,16
E02002993,E02002986,9
E02002994,E02002986,21
E02002995,E02002986,14
E02002996,E02002986,15
E02002997,E02002986,15
E02002998,E02002986,15
E02002999,E02002986,9
E02003000,E02002986,77
E02003001,E02002986,11
E02003002,E02002986,11
E02003003,E02002986,8
E02003004,E02002986,30
E02003005,E02002986,15
E02003006,E02002986,13
E02003007,E02002986,40
E02003008,E02002986,15
E02003009,E02002986,18
