Home Cluster OA Code,Work Cluster OA Code,Commuter Count
E00072718,E00072718,2
E00072718,E00072744,2
E00072718,E00073211,2
E00072718,E00073279,13
E00072718,E00073292,5
E00072718,E00073353,3
E00072718,E00073384,6
E00072718,E00073417,4
E00072718,E00073590,3
E00072718,E00073619,4
E00072718,E00073629,2
E00072718,E00073864,2
E00072718,E00074081,11
E00072718,E00074196,3
E00072718,E00074279,1
E00072718,E00074431,1
E00072718,E00075041,2
E00072718,E00075157,3
E00072718,E00075202,3
E00072718,E00075278,1
E00072718,E00075511,1
E00072718,E00075604,3
E00072718,E00075641,1
E00072718,E00075692,1
E00072718,E00075812,3
E00072718,E00075818,5
E00072718,E00174278,7
E00072718,E00174300,2
E00072744,E00072744,9
E00072744,E00073211,8
E00072744,E00073214,2
E00072744,E00073279,56
E00072744,E00073292,46
E00072744,E00073353,30
E00072744,E00073384,31
E00072744,E00073394,8
E00072744,E00073417,14
E00072744,E00073481,10
E00072744,E00073590,11
E00072744,E00073619,4
E00072744,E00073629,35
E00072744,E00073647,2
E00072744,E00073864,26
E00072744,E00074081,31
E00072744,E00074196,8
E00072744,E00074279,9
E00072744,E00074431,12
E00072744,E00074694,3
E00072744,E00075041,9
E00072744,E00075157,9
E00072744,E00075202,49
E00072744,E00075278,4
E00072744,E00075339,4
E00072744,E00075511,26
E00072744,E00075519,3
E00072744,E00075604,29
E00072744,E00075615,17
E00072744,E00075641,15
E00072744,E00075692,15
E00072744,E00075812,8
E00072744,E00075818,23
E00072744,E00174278,87
E00072744,E00174300,27
E00073211,E00072718,4
E00073211,E00072744,13
E00073211,E00073211,191
E00073211,E00073214,87
E00073211,E00073279,358
E00073211,E00073292,285
E00073211,E00073353,343
E00073211,E00073384,179
E00073211,E00073394,51
E00073211,E00073417,121
E00073211,E00073481,102
E00073211,E00073590,73
E00073211,E00073619,158
E00073211,E00073629,181
E00073211,E00073647,31
E00073211,E00073819,1
E00073211,E00073864,426
E00073211,E00074081,263
E00073211,E00074196,111
E00073211,E00074279,33
E00073211,E00074431,74
E00073211,E00074694,59
E00073211,E00075041,66
E00073211,E00075157,68
E00073211,E00075202,467
E00073211,E00075278,88
E00073211,E00075287,31
E00073211,E00075339,66
E00073211,E00075511,122
E00073211,E00075519,27
E00073211,E00075604,214
E00073211,E00075615,99
E00073211,E00075641,145
E00073211,E00075692,144
E00073211,E00075812,31
E00073211,E00075818,175
E00073211,E00174278,611
E00073211,E00174300,129
E00073214,E00072718,2
E00073214,E00073211,30
E00073214,E00073214,22
E00073214,E00073279,50
E00073214,E00073292,47
E00073214,E00073353,64
E00073214,E00073384,42
E00073214,E00073394,10
E00073214,E00073417,16
E00073214,E00073481,12
E00073214,E00073590,12
E00073214,E00073619,17
E00073214,E00073629,39
E00073214,E00073647,2
E00073214,E00073864,75
E00073214,E00074081,35
E00073214,E00074196,20
E00073214,E00074279,7
E00073214,E00074431,13
E00073214,E00074694,9
E00073214,E00075041,9
E00073214,E00075157,9
E00073214,E00075202,93
E00073214,E00075278,10
E00073214,E00075287,3
E00073214,E00075339,14
E00073214,E00075511,21
E00073214,E00075519,5
E00073214,E00075604,17
E00073214,E00075615,25
E00073214,E00075641,30
E00073214,E00075692,22
E00073214,E00075812,5
E00073214,E00075818,24
E00073214,E00174278,117
E00073214,E00174300,23
E00073279,E00072718,24
E00073279,E00072744,52
E00073279,E00073211,209
