,E02002985,E02002986,E02002987,E02002988,E02002989,E02002990,E02002991,E02002992,E02002993,E02002994,E02002995,E02002996,E02002997,E02002998,E02002999,E02003000,E02003001,E02003002,E02003003,E02003004,E02003005,E02003006,E02003007,E02003008,E02003009,E02003010,E02003011,E02003012,E02003013,E02003014,E02003015,E02003016,E02003017,E02003018,E02003019,E02003020,E02003021,E02003022,E02003023,E02003024,E02003025,E02003026,E02003027,E02003028,E02003029,E02003030,E02003031,E02003032,E02003033,E02003034,E02003036,E02003037,E02003038,E02003039,E02003040,E02003041,E02003043,E02003044,E02003045,E02003046,E02003047,E02003048,E02003049,E02003050,E02003051,E02003052,E02003053,E02003054,E02003055,E02003056,E02003057,E02003058,E02003059,E02003060,E02003061,E02003062,E02003063,E02003064,E02006887,E02006888,E02006889,E02006890,E02003065,E02003066,E02003067,E02003068,E02003069,E02003070,E02003071,E02003072,E02003073,E02003074,E02003075,E02003076,E02003077,E02003078,E02003079,E02003080,E02003081,E02003082,E02003084,E02003085,E02003086,E02003087,E02003088,E02003089,E02006845,E02006846,E02003090,E02003091,E02003092,E02003093,E02003094,E02003095,E02003096,E02003097,E02003098,E02003099,E02003100,E02003101,E02003102,E02003103,E02003104,E02003105,E02003106,E02003107,E02003108,E02003109,E02003110,E02003111,E02003112,E02003113,E02003114,E02003115,E02003116,E02003117,E02003118,E02003119,E02003120,E02003121
E02002985,209,125,121,6,2,1,115,55,30,11,17,36,7,4,2,48,10,7,6,10,7,11,13,4,9,11,6,2,3,5,10,2,0,1,12,1,0,3,3,7,3,2,2,2,1,1,1,15,5,10,32,2,5,2,11,3,141,0,5,19,7,2,56,10,1,12,9,42,2,14,10,10,12,6,0,2,8,9,103,9,21,3,1,6,3,5,1,7,0,3,3,0,4,4,6,2,0,0,0,0,1,0,0,1,3,2,0,0,5,3,4,5,4,3,1,7,9,1,22,2,0,1,0,1,48,12,31,0,10,1,0,13,11,7,3,10,13,8,10,42
E02002986,178,148,118,5,3,2,114,52,27,10,19,49,7,2,3,54,14,6,6,9,4,13,7,11,9,5,3,1,1,9,6,0,2,1,10,0,2,4,0,13,4,2,6,2,2,6,3,7,3,8,19,7,1,1,8,4,122,1,1,25,1,1,51,14,2,10,4,32,1,5,6,10,3,5,0,1,5,16,85,9,28,2,1,5,0,9,0,7,0,5,2,0,1,5,12,3,0,1,0,1,3,0,0,0,8,1,2,2,3,1,7,3,11,6,3,4,6,0,17,4,0,0,0,0,48,18,23,0,7,4,1,30,15,10,6,15,13,6,10,25
E02002987,128,107,166,1,2,5,115,68,35,7,8,40,7,4,6,48,13,13,3,14,16,20,16,4,13,7,7,3,3,2,8,3,0,1,6,0,1,1,1,15,3,4,2,0,0,3,3,19,8,17,21,4,0,5,7,7,163,2,8,24,8,0,44,18,2,16,5,39,1,8,12,10,9,7,4,0,13,10,109,4,24,2,2,5,3,4,1,3,0,4,0,1,3,2,4,2,1,0,1,0,3,0,0,0,2,0,0,0,4,4,5,2,9,3,0,3,8,0,20,2,0,1,0,4,84,2,25,1,8,8,0,8,6,9,5,24,8,13,15,27
E02002988,5,13,3,172,8,67,525,105,132,46,22,201,17,15,2,12,30,30,13,6,2,21,8,3,3,7,2,1,1,2,3,1,0,0,3,0,0,0,1,3,3,7,0,1,0,0,1,0,2,6,8,1,1,0,2,3,39,0,0,4,4,0,6,1,0,2,0,3,0,3,0,3,0,1,0,0,3,0,36,2,2,0,1,0,1,0,1,3,1,3,0,1,0,2,4,0,0,0,0,0,2,1,0,0,0,1,1,0,1,0,2,0,4,2,2,2,4,0,15,0,1,1,1,1,43,9,10,0,1,2,0,8,0,2,2,3,4,3,2,3
E02002989,6,14,8,12,89,12,409,336,138,23,42,128,30,25,9,17,32,38,8,3,0,18,6,8,5,6,3,1,1,1,4,1,0,0,1,0,0,0,0,4,3,7,1,2,0,1,3,2,2,7,6,4,0,0,0,3,37,0,0,3,3,0,6,3,0,3,0,7,0,6,0,1,1,0,0,0,2,2,32,1,2,1,0,0,2,4,0,4,2,0,0,2,2,1,3,3,0,0,0,1,5,0,0,0,2,0,1,0,1,1,3,1,2,0,0,2,1,0,10,0,0,0,0,0,45,3,3,0,3,2,0,10,1,4,2,5,4,2,5,2
E02002990,14,13,1,53,13,74,715,133,195,41,31,294,6,9,5,11,31,32,19,6,3,21,3,5,12,12,3,1,1,2,5,0,2,0,1,0,0,0,0,9,1,5,1,0,0,1,2,2,5,1,11,6,0,0,0,3,62,0,1,4,4,0,6,2,0,1,0,2,0,1,1,0,1,2,0,0,1,3,40,1,6,0,0,0,1,1,0,3,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,0,0,0,2,0,1,3,3,5,1,1,6,0,12,1,0,1,0,1,58,4,13,0,3,0,0,20,4,1,1,1,4,0,4,2
E02002991,1,18,5,31,17,44,1367,204,306,47,36,503,20,20,2,29,23,32,12,1,2,34,6,3,12,4,4,2,0,3,8,0,3,0,0,0,0,0,3,5,1,3,2,0,3,0,0,2,5,10,17,7,0,0,0,6,98,0,1,9,1,1,1,3,2,1,0,8,0,0,1,2,3,3,0,1,6,3,75,1,6,0,1,0,3,3,1,1,0,3,0,0,0,1,10,0,0,0,0,1,2,0,0,0,1,0,1,0,4,0,3,4,2,2,1,8,3,1,10,1,0,1,0,3,69,12,9,0,4,0,0,10,4,5,0,1,5,6,0,5
E02002992,7,16,10,16,35,9,527,451,154,16,36,134,24,16,4,16,33,25,11,4,2,29,8,10,16,16,10,1,2,1,9,0,0,0,2,0,0,0,1,6,3,7,1,0,2,0,0,3,3,14,11,7,0,4,3,0,62,1,1,2,1,0,8,6,2,2,0,5,1,3,1,3,4,1,2,0,1,0,38,1,4,0,2,2,1,2,1,3,1,0,0,0,0,5,1,1,0,1,0,0,0,1,0,0,0,4,1,0,1,1,1,1,4,5,0,1,5,0,10,0,1,0,0,1,56,3,2,0,5,2,0,12,0,6,2,2,6,6,2,2
E02002993,6,9,7,19,20,18,667,180,218,16,39,233,17,15,3,6,20,29,11,4,3,31,6,2,4,2,4,2,0,2,3,0,1,0,1,0,0,0,0,8,0,1,1,1,0,1,0,4,2,3,11,4,0,0,2,3,52,0,1,0,0,0,1,4,0,1,1,7,1,2,4,1,1,1,0,0,1,2,39,1,5,0,0,0,0,1,0,0,0,3,0,0,2,3,3,0,0,0,0,0,3,0,0,0,2,0,0,0,1,1,1,1,0,1,0,0,4,0,8,0,0,0,0,0,41,9,5,0,2,0,1,7,0,2,0,1,5,2,1,0
E02002994,11,21,12,44,9,49,651,185,161,291,40,282,31,17,6,23,47,89,26,7,9,47,11,19,16,17,4,1,3,6,5,0,2,0,3,0,1,1,0,4,1,10,2,1,0,2,2,4,5,9,9,7,1,1,1,1,86,0,0,5,1,0,6,6,0,3,3,1,0,3,2,0,0,1,0,0,5,5,56,3,4,3,1,2,1,2,2,2,0,0,3,1,2,0,2,0,0,0,0,1,1,0,0,0,3,0,2,1,4,3,6,3,7,0,0,5,10,1,17,0,0,0,2,0,64,7,8,0,7,1,0,21,1,0,1,5,6,8,3,2
