Timestamp,1. Do/Have you Lived in Bristol,2. How satisfied do you feel with Bristol's public transport?,3. How would you rate the reliability of Bristol's public transport?,4. How satisfied are you with the cost of Bristol's public transport?,5. How satisfied do you feel with the frequency of Public Transport in General?,6. How satisfied are you with the length of Public transport journeys?,7. How confident do you feel that public transport can conveniently take you anywhere you want to go within Bristol?,8. Please rank the following five aspects in order of which you would like to see improve the most. [Most important],8. Please rank the following five aspects in order of which you would like to see improve the most. [Second most important],8. Please rank the following five aspects in order of which you would like to see improve the most. [Third most important],8. Please rank the following five aspects in order of which you would like to see improve the most. [Fourth most important],8. Please rank the following five aspects in order of which you would like to see improve the most. [Least important],9. Which public transport type do you think could use the most improvement?,10.1 Please choose at MOST 3 areas of Bristol you would like to have better transport links to the centre. (First Choice),10.2 Please choose at MOST 3 areas of Bristol you would like to have better transport links to the centre. (Second Choice),10.3 Please choose at MOST 3 areas of Bristol you would like to have better transport links to the centre. (Third Choice)
2025/03/04 2:04:02 pm GMT,Yes (Currently living in Bristol),3,2,1,2,2,3,Frequency of Transport,Reliability of Transport,Cost of Transport,Connectivity of Public Transport Network,Journey Times,Buses,Southville,Chew Valley,Conham
2025/03/04 2:20:25 pm GMT,Yes (Currently living in Bristol),4,3,4,3,2,3,Reliability of Transport,Cost of Transport,Frequency of Transport,Connectivity of Public Transport Network,Journey Times,Buses,Henbury,,
2025/03/04 2:30:34 pm GMT,Yes (Currently living in Bristol),2,2,2,3,1,4,Reliability of Transport,Cost of Transport,Frequency of Transport,Journey Times,Connectivity of Public Transport Network,Buses,Henbury,,
2025/03/04 4:15:31 pm GMT,I have lived in Bristol in the last 3 years,1,2,3,2,3,1,Reliability of Transport,Connectivity of Public Transport Network,Cost of Transport,Frequency of Transport,Journey Times,Buses, Southville,Easton,Temple Meads to Southville
2025/03/04 6:19:02 pm GMT,Yes (Currently living in Bristol),4,3,5,4,3,2,Connectivity of Public Transport Network,Reliability of Transport,Frequency of Transport,Journey Times,Cost of Transport,Buses,Lawrence Weston,Avonmouth,
2025/03/04 6:25:40 pm GMT,Yes (Currently living in Bristol),2,2,2,1,3,2,Connectivity of Public Transport Network,Frequency of Transport,Cost of Transport,Reliability of Transport,Journey Times,Trains,Severnside industrial area,AvonMeads retail,
2025/03/04 6:46:19 pm GMT,Yes (Currently living in Bristol),2,2,4,1,2,1,Reliability of Transport,Cost of Transport,Frequency of Transport,Journey Times,Connectivity of Public Transport Network,Buses,Easton,St Werburgh’s,Knowle
2025/03/04 6:51:40 pm GMT,I have lived in Bristol in the last 6 years,4,3,3,3,2,4,Reliability of Transport,Frequency of Transport,Cost of Transport,Connectivity of Public Transport Network,Journey Times,Trains,Weston-Super-Mare ,Winscombe ,Clevedon
2025/03/04 9:14:23 pm GMT,I have lived in Bristol in the last 6 years,3,3,4,4,4,2,Connectivity of Public Transport Network,Reliability of Transport,Journey Times,Frequency of Transport,Cost of Transport,Buses,,,
2025/03/05 6:46:52 am GMT,Yes (Currently living in Bristol),3,3,1,1,1,1,Cost of Transport,Frequency of Transport,Reliability of Transport,Journey Times,Connectivity of Public Transport Network,Buses,,,
