Home Cluster OA Code,Work Cluster OA Code,Commuter Count
E00073211,E00073211,564
E00073211,E00073247,27
E00073211,E00073276,37
E00073211,E00073322,15
E00073211,E00073342,44
E00073211,E00073350,10
E00073211,E00073385,12
E00073211,E00073396,12
E00073211,E00073516,39
E00073211,E00073532,79
E00073211,E00073742,9
E00073211,E00073791,9
E00073211,E00073814,10
E00073211,E00073921,35
E00073211,E00074002,113
E00073211,E00074023,37
E00073211,E00074057,6
E00073211,E00074249,5
E00073211,E00074303,10
E00073211,E00074327,29
E00073211,E00074346,46
E00073211,E00074370,14
E00073211,E00075090,124
E00073211,E00075199,19
E00073211,E00075304,3
E00073211,E00075310,44
E00073211,E00075410,23
E00073211,E00075451,5
E00073211,E00075523,25
E00073211,E00075611,6
E00073211,E00075639,8
E00073211,E00075658,7
E00073211,E00075769,5
E00073211,E00075774,36
E00073211,E00173041,53
E00073211,E00173089,36
E00073211,E00174049,336
E00073211,E00174312,368
E00073211,E00174323,12
E00073247,E00073211,133
E00073247,E00073247,257
E00073247,E00073276,84
E00073247,E00073322,83
E00073247,E00073342,119
E00073247,E00073350,19
E00073247,E00073385,26
E00073247,E00073396,30
E00073247,E00073516,69
E00073247,E00073532,71
E00073247,E00073742,52
E00073247,E00073791,48
E00073247,E00073814,42
E00073247,E00073921,70
E00073247,E00074002,251
E00073247,E00074023,80
E00073247,E00074057,24
E00073247,E00074249,19
E00073247,E00074303,60
E00073247,E00074327,36
E00073247,E00074346,31
E00073247,E00074370,38
E00073247,E00075090,129
E00073247,E00075199,50
E00073247,E00075304,12
E00073247,E00075310,91
E00073247,E00075410,48
E00073247,E00075451,16
E00073247,E00075523,87
E00073247,E00075611,8
E00073247,E00075639,29
E00073247,E00075658,17
E00073247,E00075769,15
E00073247,E00075774,80
E00073247,E00173041,212
E00073247,E00173089,79
E00073247,E00174049,732
E00073247,E00174312,682
E00073247,E00174323,25
E00073276,E00073211,364
E00073276,E00073247,158
E00073276,E00073276,621
E00073276,E00073322,104
E00073276,E00073342,164
E00073276,E00073350,41
E00073276,E00073385,40
E00073276,E00073396,49
E00073276,E00073516,170
E00073276,E00073532,212
E00073276,E00073742,46
E00073276,E00073791,56
E00073276,E00073814,33
E00073276,E00073856,13
E00073276,E00073921,298
E00073276,E00074002,545
E00073276,E00074023,292
E00073276,E00074057,103
E00073276,E00074249,22
E00073276,E00074303,57
E00073276,E00074327,107
E00073276,E00074346,136
E00073276,E00074370,50
E00073276,E00075090,370
E00073276,E00075199,106
E00073276,E00075304,15
E00073276,E00075310,281
E00073276,E00075410,161
E00073276,E00075451,70
E00073276,E00075523,269
E00073276,E00075611,40
E00073276,E00075639,69
E00073276,E00075658,34
E00073276,E00075769,41
E00073276,E00075774,273
E00073276,E00173041,502
E00073276,E00173089,247
E00073276,E00174049,1609
E00073276,E00174312,1820
E00073276,E00174323,104
E00073322,E00073211,119
E00073322,E00073247,158
E00073322,E00073276,74
E00073322,E00073322,207
E00073322,E00073342,224
E00073322,E00073350,37
E00073322,E00073385,26
E00073322,E00073396,48
E00073322,E00073516,108
E00073322,E00073532,74
E00073322,E00073742,64
E00073322,E00073791,41
E00073322,E00073814,46
E00073322,E00073856,6
E00073322,E00073921,36
E00073322,E00074002,388
E00073322,E00074023,99
E00073322,E00074057,18
E00073322,E00074249,25
E00073322,E00074303,39
E00073322,E00074327,36
E00073322,E00074346,25
E00073322,E00074370,47
E00073322,E00075090,91
E00073322,E00075199,49
E00073322,E00075304,7
E00073322,E00075310,135
E00073322,E00075410,60
E00073322,E00075451,22
E00073322,E00075523,97
E00073322,E00075611,13
E00073322,E00075639,32
E00073322,E00075658,12
E00073322,E00075769,16
E00073322,E00075774,77
E00073322,E00173041,166
E00073322,E00173089,113
E00073322,E00174049,886
E00073322,E00174312,1062
E00073322,E00174323,37
E00073342,E00073211,173
E00073342,E00073247,187
E00073342,E00073276,139
E00073342,E00073322,97
E00073342,E00073342,541
E00073342,E00073350,57
E00073342,E00073385,37
E00073342,E00073396,70
E00073342,E00073516,103
E00073342,E00073532,69
E00073342,E00073742,81
E00073342,E00073791,67
E00073342,E00073814,72
E00073342,E00073856,7
E00073342,E00073921,62
E00073342,E00074002,431
E00073342,E00074023,165
E00073342,E00074057,18
E00073342,E00074249,14
E00073342,E00074303,41
E00073342,E00074327,43
E00073342,E00074346,23
E00073342,E00074370,56
E00073342,E00075090,202
E00073342,E00075199,61
E00073342,E00075304,16
E00073342,E00075310,145
E00073342,E00075410,79
E00073342,E00075451,48
E00073342,E00075523,104
E00073342,E00075611,27
E00073342,E00075639,54
E00073342,E00075658,32
E00073342,E00075769,18
E00073342,E00075774,131
E00073342,E00173041,223
E00073342,E00173089,109
E00073342,E00174049,1007
E00073342,E00174312,1075
E00073342,E00174323,45
E00073350,E00073211,41
E00073350,E00073247,37
E00073350,E00073276,20
E00073350,E00073322,21
E00073350,E00073342,47
E00073350,E00073350,41
E00073350,E00073385,5
E00073350,E00073396,25
E00073350,E00073516,19
E00073350,E00073532,21
E00073350,E00073742,13
E00073350,E00073791,8
E00073350,E00073814,5
E00073350,E00073921,9
E00073350,E00074002,110
E00073350,E00074023,31
E00073350,E00074057,9
E00073350,E00074249,5
E00073350,E00074303,9
E00073350,E00074327,9
E00073350,E00074346,9
E00073350,E00074370,8
