OA_code,Latitude,Longitude
E00072724,51.4210194,-2.5052364
E00072721,51.4159774,-2.4979222
E00072722,51.415373,-2.5016628
E00072734,51.4182338,-2.5046424
E00072735,51.4202854,-2.4976328
E00072736,51.4176184,-2.5013338
E00072745,51.4104534,-2.4963354
E00072750,51.4083034,-2.506937
E00072715,51.4161812,-2.488307
E00072720,51.4111488,-2.489369
E00072705,51.4088082,-2.4911332
E00072717,51.4106148,-2.4772916
E00072664,51.367059,-2.567197
E00072728,51.4102702,-2.510858
E00072730,51.4104882,-2.5144032
E00072742,51.4092994,-2.4985484
E00072719,51.4117224,-2.4930076
E00072685,51.3920972,-2.50211
E00072727,51.4130696,-2.504859
E00072740,51.4035322,-2.5145148
E00072744,51.412618,-2.5026454
E00072716,51.413576,-2.4928232
E00074694,51.4780326,-2.6748382
E00075030,51.4334422,-2.6514148
E00072731,51.4099452,-2.513638
E00072754,51.4051904,-2.50765
E00072737,51.4097992,-2.5013202
E00072741,51.4126684,-2.4996032
E00072733,51.4085374,-2.513188
E00072714,51.3982476,-2.4900592
E00072648,51.3851376,-2.5759534
E00072708,51.4077024,-2.4829316
E00074454,51.4098836,-2.6816882
E00074596,51.453632,-2.6334076
E00074592,51.4828676,-2.701852
E00166301,51.4840632,-2.7226
E00072747,51.4078592,-2.4972964
E00072713,51.400922,-2.489499
E00072707,51.4060646,-2.4852378
E00072966,51.369534,-2.5478722
E00072729,51.412366,-2.509504
E00072686,51.380339,-2.5154542
E00072723,51.4151262,-2.5071102
E00072964,51.3769558,-2.542421
E00072969,51.4040756,-2.5535384
E00072725,51.4152982,-2.5047482
E00072746,51.4094342,-2.5033118
E00072993,51.4041082,-2.4690152
E00072726,51.414038,-2.5105148
E00072703,51.3992656,-2.4865346
E00072970,51.4054862,-2.5577964
E00074589,51.4597918,-2.6666964
E00075042,51.446197,-2.6919388
E00075047,51.4413906,-2.7252156
E00072738,51.4056674,-2.5107378
E00075035,51.4296164,-2.6691938
E00072732,51.4102866,-2.5069532
E00072749,51.4063384,-2.5016964
E00072739,51.406723,-2.5140046
E00072748,51.4085558,-2.5109396
E00074701,51.4815126,-2.6853112
E00072751,51.4075832,-2.509744
E00075028,51.4342556,-2.6815144
E00166292,51.4258884,-2.670424
E00072965,51.3725086,-2.5500768
E00072968,51.4076638,-2.5597206
E00072743,51.4116258,-2.4988068
E00075034,51.4317708,-2.6574968
E00072712,51.4018862,-2.486427
E00072752,51.407122,-2.50355875
E00072753,51.4069742,-2.506307
E00074456,51.4228704,-2.6980018
E00072642,51.3679616,-2.6059244
E00072709,51.405022,-2.4909314
E00072967,51.4075058,-2.5576686
E00072718,51.4135214,-2.4886184
E00072706,51.4073128,-2.4897022
E00074704,51.4809078,-2.686681
E00072710,51.40378,-2.4876894
E00075046,51.4391502,-2.6927248
E00072704,51.4082624,-2.4850914
E00072711,51.4056658,-2.4873268
E00072644,51.36708,-2.6116702
E00074457,51.422316,-2.7110712
E00072641,51.3659276,-2.6089116
E00075018,51.4098366,-2.6413114
E00075039,51.4285866,-2.6636526
E00074698,51.4712554,-2.6800368
E00075027,51.4270514,-2.6640596
E00075020,51.398127,-2.6379868
E00075026,51.3817396,-2.6602942
E00074588,51.4588888,-2.6531696
E00074590,51.4655554,-2.6688968
E00074595,51.453813,-2.6391122
E00074597,51.4527044,-2.630974
E00074696,51.4795466,-2.6845264
E00074600,51.4744284,-2.7190574
E00074591,51.4795282,-2.6940558
E00074593,51.4776308,-2.700152
E00074594,51.4759092,-2.6998994
E00074695,51.4791102,-2.6918004
E00074699,51.476753,-2.6868256
E00075036,51.4302596,-2.6581302
E00074697,51.4777636,-2.689816
E00074702,51.4827342,-2.6888526
E00074703,51.4817726,-2.6903206
E00074601,51.4670758,-2.7159516
E00074693,51.4786992,-2.6870274
E00075029,51.431722,-2.6640094
E00074700,51.4759554,-2.6878282
E00075031,51.4320366,-2.6619216
E00075038,51.4297352,-2.6645758
E00075041,51.4274464,-2.6673846
E00075045,51.4412826,-2.6925444
E00075037,51.4299886,-2.6529474
E00075032,51.433184,-2.6474066
E00075033,51.4325242,-2.6503884
E00166289,51.4280252,-2.6728416
E00166296,51.4283594,-2.670792
E00075023,51.382849,-2.6734852
