OA_code,total_arrivals,total_departures
E00075486,2440,8229
E00174218,14015,1766
E00074002,4999,54
E00075293,1320,3716
E00073820,3068,7214
E00075090,4517,187
E00075774,7645,473
E00074127,2258,9129
E00073403,2244,7480
E00075388,2957,5419
E00073297,2977,8593
E00075155,3383,8757
E00073957,1265,4068
E00075532,1419,4554
E00073721,2604,7161
E00075403,2589,8082
E00073194,1610,3962
E00073436,10817,1017
E00174055,16557,1068
E00073526,9253,3490
E00073227,4025,10473
E00073802,1198,6508
E00073548,3371,11227
E00075633,1714,5418
E00074022,4213,9077
E00073476,4022,8076
E00073754,1411,3595
E00174049,13603,662
E00075659,6140,1472
E00073652,1712,6344
E00074428,1664,7678
E00073631,1619,5326
E00075790,557,1119
E00074210,2617,5872
E00174243,8138,192
E00074229,15304,3776
E00173041,16263,614
E00174226,2926,7513
E00073868,3604,8085
E00174312,5497,89
