OA Code,Total Arrivals,Total Departures
E00075536,447,2829
E00073211,6711,2987
E00073268,548,1968
E00073325,1034,1870
E00174262,6247,4635
E00073758,870,3388
E00073699,882,2559
E00073526,2635,3872
E00074349,1335,2654
E00073431,1373,1374
E00174310,3034,2524
E00075153,1477,3993
E00075310,1824,571
E00073921,7195,5545
E00075774,12202,13945
E00073342,4956,5817
E00174323,2262,3696
E00074023,7646,11440
E00075339,4676,3120
E00073436,2447,2803
E00074000,1341,2453
E00174245,1294,2686
E00073214,2196,2587
E00075090,7040,2976
E00074303,1611,1772
E00074081,972,3407
E00073742,2106,2919
E00075692,3836,4709
E00073587,1209,4004
E00073500,1239,2192
E00075639,1296,2009
E00075523,5604,3862
E00174297,2082,1296
E00173089,3808,1728
E00174312,31422,7280
E00073380,2902,4061
E00073385,1341,1922
E00174285,2080,1804
E00174231,1993,2459
E00073545,897,2721
E00073856,662,2651
E00173041,10075,7289
E00074057,1505,1314
E00073389,1443,1929
E00074025,3012,5147
E00174316,7218,4522
E00074192,1363,3284
E00174284,1849,2584
E00073425,1707,1104
E00073510,1049,3059
E00073584,1654,2485
E00073639,1543,1582
E00073446,1861,927
E00073261,941,1923
E00073491,1986,1641
E00073481,1354,2872
E00173063,958,2370
E00174225,1220,1161
E00073390,805,2563
E00174242,3993,654
E00073744,1063,1705
E00174050,2705,2508
E00073247,1499,1824
