OA Code,Total Arrivals,Total Departures
E00075536,462,2901
E00073211,6711,2987
E00073325,1040,1993
E00174262,6247,4635
E00073758,870,3388
E00073699,1128,2726
E00073526,2802,3986
E00074349,1444,2814
E00073431,1373,1374
E00174310,3034,2524
E00075153,1559,4298
E00075310,1834,673
E00073921,7331,6280
E00075774,12202,13945
E00073342,5016,6136
E00174323,2266,3793
E00074023,7694,11793
E00075339,4676,3120
E00073436,2447,2803
E00074000,1341,2453
E00174245,1294,2686
E00073214,2196,2587
E00075090,7041,3028
E00074303,1611,1772
E00074081,973,3470
E00073742,2106,3046
E00075692,3926,4780
E00073587,1423,4684
E00073500,1239,2192
E00075639,1296,2009
E00075523,5604,3862
E00174297,2082,1296
E00173089,3819,1847
E00174312,31422,7309
E00073380,2902,4061
E00073385,1341,1922
E00174285,2080,1804
E00174231,1993,2459
E00073545,897,2721
E00173041,10153,7796
E00074057,1505,1314
E00073389,1547,2231
E00074025,3012,5147
E00174316,7366,5046
E00074192,1402,3528
E00174284,1849,2584
E00073425,1707,1104
E00073510,1049,3059
E00073584,1654,2485
E00073639,1543,1582
E00073446,2002,1122
E00073261,941,1923
E00073491,2098,1728
E00073481,1354,2872
E00173063,958,2370
E00073390,805,2563
E00174242,4578,751
E00073744,1063,1705
E00174050,2705,2508
E00073247,1522,1960
