Home Cluster OA Code,Work Cluster OA Code,Commuter Count
0,0,12
0,1,1
0,2,8
0,3,4
0,4,1
0,5,1
0,6,3
0,8,11
0,9,2
0,10,12
0,12,3
0,14,4
0,15,47
0,16,1
0,17,1
0,19,2
0,22,3
0,23,1
0,24,2
0,25,6
0,27,8
0,28,7
0,30,2
0,31,10
0,33,23
0,35,43
0,37,11
0,38,1
0,39,4
0,40,3
0,42,2
0,43,1
0,45,4
0,47,1
0,48,3
0,49,1
0,51,14
0,53,1
0,54,2
0,55,4
0,58,2
0,60,2
0,61,2
0,64,5
0,67,1
0,69,6
0,70,2
0,73,3
0,74,2
0,75,3
0,76,2
0,77,1
0,81,3
0,83,1
0,84,1
0,85,3
0,86,1
0,87,13
0,89,1
0,91,4
0,96,5
0,98,3
0,99,1
0,100,1
0,101,2
0,102,1
0,104,2
0,105,1
0,106,1
0,107,1
0,108,6
0,109,1
0,110,2
0,113,1
0,117,1
0,118,1
0,125,1
0,128,4
0,130,3
0,131,3
0,134,7
0,135,1
0,136,1
0,137,1
0,138,2
0,140,1
0,142,1
0,144,2
0,146,4
0,147,1
0,148,1
0,152,7
0,164,1
0,168,2
0,173,8
0,175,1
1,0,1
1,1,15
1,2,4
1,3,2
1,4,4
1,5,4
1,6,3
1,8,35
1,9,4
1,10,12
1,12,6
1,14,7
1,15,13
1,16,4
1,17,2
1,18,6
1,19,5
1,20,2
1,21,1
1,22,3
1,23,2
1,24,1
1,25,5
1,26,1
1,27,11
1,28,5
1,29,12
1,30,3
1,31,12
1,32,6
1,33,44
1,35,47
1,36,3
1,37,15
1,38,5
1,39,7
1,40,8
1,41,1
1,43,6
1,44,3
1,45,4
1,47,3
1,48,2
1,49,1
1,51,11
1,53,10
1,55,4
1,57,5
1,59,2
1,60,5
1,61,14
1,63,2
1,64,7
1,67,1
1,69,23
1,70,1
1,71,2
1,72,4
1,73,2
1,74,8
1,75,3
1,76,1
1,77,8
1,79,1
1,81,6
1,83,1
1,85,5
1,86,1
1,87,42
1,88,1
1,89,2
1,90,9
1,91,7
1,94,1
1,95,1
1,96,5
1,97,1
1,98,6
1,99,2
1,101,1
1,104,2
1,105,8
1,106,6
1,108,17
1,109,1
1,110,12
1,112,1
1,113,11
1,115,3
1,116,1
1,118,1
1,119,2
1,121,1
1,122,2
1,124,1
1,125,5
1,128,4
1,129,1
1,130,11
1,131,5
1,132,4
1,133,2
1,134,1
1,135,5
1,136,3
1,138,1
1,142,1
1,143,1
1,146,6
1,149,1
1,150,1
1,152,8
1,153,1
1,156,2
1,158,1
1,159,1
1,161,4
1,162,3
1,163,3
1,165,5
1,168,2
1,173,2
1,182,1
2,0,4
2,1,2
2,2,93
2,3,3
2,4,2
2,5,4
2,6,3
2,7,1
2,8,28
2,9,1
2,10,12
2,11,3
2,12,6
2,14,9
2,15,49
2,16,24
2,17,2
2,18,9
2,19,4
2,21,2
2,22,8
2,23,2
2,24,5
2,25,10
2,27,44
2,28,26
2,29,1
2,30,1
2,31,15
2,32,14
2,33,57
2,35,135
2,36,11
2,37,7
2,38,24
2,39,15
2,40,6
2,41,2
2,42,2
2,43,11
2,44,3
2,45,22
2,47,1
2,48,6
2,49,2
2,51,111
2,53,11
2,54,5
2,55,45
2,57,2
2,58,3
2,59,1
2,60,1
2,61,32
2,62,3
2,64,31
2,66,4
2,67,4
2,68,6
2,69,58
2,70,3
2,71,10
2,72,1
2,73,3
2,74,17
2,75,16
2,76,3
2,77,8
2,78,3
2,79,3
2,80,2
2,81,1
2,83,14
2,84,8
2,85,19
2,86,3
2,87,69
2,88,1
2,89,10
2,90,3
2,91,105
2,92,1
2,93,3
2,94,7
2,96,13
2,98,23
2,99,1
2,100,3
2,101,1
2,102,8
2,103,1
2,104,2
2,105,7
2,106,10
2,108,42
2,109,1
2,110,24
2,111,8
2,113,4
2,116,5
2,117,1
2,118,1
2,119,5
2,120,1
2,122,2
2,123,11
2,124,2
2,125,5
2,126,3
2,128,46
2,130,5
2,131,12
2,133,1
2,134,53
2,135,11
2,136,2
2,138,8
2,140,2
2,142,1
2,143,1
2,144,4
2,145,12
2,146,1
2,147,1
2,148,7
2,151,1
2,152,17
2,153,9
2,155,1
2,156,4
2,158,1
2,159,7
2,161,1
2,162,2
2,163,6
2,168,26
2,173,15
2,174,3
2,175,4
2,176,1
2,178,1
2,179,2
2,180,6
3,0,2
3,1,2
3,2,6
3,3,29
3,4,2
3,5,8
3,6,5
3,7,2
3,8,63
3,9,2
3,10,18
3,11,1
3,12,8
3,14,15
3,15,20
3,16,8
3,17,2
3,18,4
3,19,7
3,20,1
3,21,2
3,22,4
3,23,5
3,25,6
3,26,5
3,27,17
3,28,7
3,29,4
3,30,3
3,31,19
3,32,4
3,33,138
3,34,3
3,35,81
3,36,1
3,37,20
3,38,9
3,39,11
3,40,4
3,41,1
3,42,2
3,43,9
3,44,2
3,45,2
3,46,1
3,47,7
3,48,4
3,49,1
3,51,14
3,53,3
3,54,1
3,55,13
3,56,1
3,58,9
3,59,2
3,60,1
3,61,12
3,64,11
3,65,3
3,66,2
3,67,1
3,68,1
3,69,29
3,70,3
3,71,10
3,73,1
3,74,12
3,75,2
3,76,3
3,77,6
3,78,1
3,79,1
3,81,2
3,83,1
3,84,2
3,85,7
3,87,41
3,89,1
3,90,3
3,91,10
3,92,1
3,95,1
3,96,8
3,98,7
3,100,6
3,102,1
3,104,1
3,105,3
3,106,5
3,108,21
3,109,1
3,110,9
3,112,3
3,113,2
3,116,1
3,117,2
3,118,4
3,119,1
3,121,2
3,122,5
3,124,3
3,125,8
3,126,4
3,128,5
3,130,1
3,131,4
3,132,2
3,134,7
3,135,5
3,136,1
3,138,5
3,139,1
3,140,2
3,141,1
3,142,3
3,143,1
3,144,1
3,145,2
3,146,2
3,147,1
3,148,1
3,151,1
3,152,7
3,153,2
3,156,2
3,159,1
3,162,2
3,163,1
3,166,1
3,168,6
3,173,4
3,174,1
3,175,2
3,180,1
4,1,1
4,2,1
4,3,1
4,4,3
4,8,7
4,10,2
4,12,2
4,14,3
4,15,5
4,16,1
4,17,1
4,18,1
4,22,1
4,25,1
4,26,2
4,27,1
4,29,1
4,31,7
4,33,19
4,35,15
4,36,1
4,37,4
4,38,3
4,39,1
4,40,1
4,41,1
4,43,3
4,45,2
4,47,1
4,50,1
4,51,2
4,53,2
4,54,1
4,55,2
4,61,4
4,64,3
4,69,8
4,70,1
4,74,4
4,77,1
4,78,1
4,79,1
4,81,1
4,84,2
4,87,12
4,89,1
4,91,1
4,98,2
4,102,1
4,104,1
4,105,2
4,108,4
4,109,1
4,110,1
4,112,1
4,113,1
4,118,1
4,122,1
4,125,1
4,128,4
4,131,2
4,134,2
4,135,2
4,138,1
4,140,1
4,142,2
4,152,3
4,153,1
4,168,2
4,173,1
5,0,2
5,1,2
5,2,31
5,3,10
5,5,41
5,6,6
5,7,4
5,8,24
5,9,6
5,10,15
5,12,5
5,14,16
5,15,72
5,16,29
5,17,1
5,18,10
5,19,9
5,21,2
5,22,20
5,23,9
5,24,13
5,25,41
5,26,4
5,27,53
5,28,22
5,29,4
5,30,2
5,31,49
5,32,7
5,33,44
5,34,2
5,35,63
5,36,6
5,37,8
5,38,20
5,39,33
5,40,2
5,41,2
5,42,1
5,43,7
5,44,2
5,45,13
5,46,1
5,47,2
5,48,15
5,49,7
5,50,1
5,51,69
5,53,18
5,54,9
5,55,37
5,57,3
5,58,7
5,59,1
5,60,4
5,61,26
5,62,4
5,63,1
5,64,49
5,66,3
5,67,6
5,69,46
5,70,10
5,71,18
5,73,8
5,74,35
5,75,12
5,77,13
5,79,3
5,81,4
5,83,17
5,84,17
5,85,29
5,86,1
5,87,76
5,88,1
5,89,4
5,90,4
5,91,24
5,92,5
5,94,1
5,95,3
5,96,19
5,97,1
5,98,17
5,99,3
5,100,5
5,102,1
5,104,5
5,105,6
5,106,10
5,108,69
5,109,4
5,110,9
5,111,4
5,112,2
5,113,7
5,114,1
5,115,2
5,116,3
5,118,5
5,119,1
5,122,3
5,124,3
5,125,15
5,126,6
5,128,28
5,129,3
5,130,3
5,131,24
5,132,2
5,133,4
5,134,27
5,135,10
5,136,2
5,138,12
5,140,3
5,142,3
5,143,1
5,144,4
5,145,10
5,146,3
5,149,1
5,150,3
5,151,1
5,152,25
5,153,4
5,155,2
5,159,1
5,160,1
5,161,3
5,162,1
5,163,3
5,165,1
5,168,8
5,173,17
5,174,4
5,175,4
5,177,3
5,179,1
5,180,2
5,182,2
6,0,2
6,1,1
6,2,8
6,3,5
6,4,2
6,5,10
6,6,47
6,7,11
6,8,14
6,9,11
6,10,9
6,11,1
6,12,1
6,14,10
6,15,19
6,16,17
6,17,2
6,18,5
6,19,7
6,20,9
6,22,6
6,23,12
6,24,7
6,25,10
6,26,1
6,27,19
6,28,6
6,29,37
6,30,7
6,31,40
6,32,13
6,33,58
6,35,42
6,36,27
6,37,10
6,38,13
6,39,20
6,40,22
6,41,2
6,42,2
6,43,4
6,45,1
6,47,2
6,48,4
6,49,2
6,51,33
6,53,26
6,54,1
6,55,19
6,56,1
6,57,13
6,58,6
6,59,3
6,60,26
6,61,30
6,63,6
6,64,27
6,65,2
6,66,1
6,67,1
